2018-07-25 20:31:21 parsl.dataflow.dflow:78 [INFO]  Parsl version: 0.6.1
2018-07-25 20:31:25 parsl.dataflow.dflow:586 [DEBUG]  Task 6 launched with AppFuture: <AppFuture at 0x7f33245eeda0 state=pending>
2018-07-25 20:31:25 parsl.dataflow.dflow:565 [INFO]  Task 7 submitted for App pdf_action, waiting on tasks []
2018-07-25 20:31:25 parsl.dataflow.dflow:363 [INFO]  Task 7 launched on executor threads
2018-07-25 20:31:25 parsl.dataflow.dflow:586 [DEBUG]  Task 7 launched with AppFuture: <AppFuture at 0x7f33245eef98 state=pending>
2018-07-25 20:31:25 parsl.dataflow.dflow:565 [INFO]  Task 8 submitted for App pdf_action, waiting on tasks []
2018-07-25 20:31:25 parsl.dataflow.dflow:363 [INFO]  Task 8 launched on executor threads
2018-07-25 20:31:25 parsl.dataflow.dflow:586 [DEBUG]  Task 8 launched with AppFuture: <AppFuture at 0x7f33245f0080 state=pending>
2018-07-25 20:31:25 parsl.dataflow.dflow:565 [INFO]  Task 9 submitted for App pdf_action, waiting on tasks []
2018-07-25 20:31:25 parsl.dataflow.dflow:363 [INFO]  Task 9 launched on executor threads
2018-07-25 20:31:25 parsl.dataflow.dflow:586 [DEBUG]  Task 9 launched with AppFuture: <AppFuture at 0x7f33245f0208 state=pending>
2018-07-25 20:31:25 parsl.dataflow.dflow:565 [INFO]  Task 10 submitted for App pdf_action, waiting on tasks []
2018-07-25 20:31:25 parsl.dataflow.dflow:363 [INFO]  Task 10 launched on executor threads
2018-07-25 20:31:25 parsl.dataflow.dflow:586 [DEBUG]  Task 10 launched with AppFuture: <AppFuture at 0x7f33245f0390 state=pending>
2018-07-25 20:31:25 parsl.dataflow.dflow:565 [INFO]  Task 11 submitted for App pdf_action, waiting on tasks []
2018-07-25 20:31:25 parsl.dataflow.dflow:363 [INFO]  Task 11 launched on executor threads
2018-07-25 20:31:25 parsl.dataflow.dflow:586 [DEBUG]  Task 11 launched with AppFuture: <AppFuture at 0x7f33245f0550 state=pending>
2018-07-25 20:31:25 parsl.dataflow.dflow:565 [INFO]  Task 12 submitted for App pdf_action, waiting on tasks []
2018-07-25 20:31:25 parsl.dataflow.dflow:363 [INFO]  Task 12 launched on executor threads
2018-07-25 20:31:25 parsl.dataflow.dflow:586 [DEBUG]  Task 12 launched with AppFuture: <AppFuture at 0x7f33245f0780 state=pending>
2018-07-25 20:31:25 parsl.dataflow.dflow:565 [INFO]  Task 13 submitted for App pdf_action, waiting on tasks []
2018-07-25 20:31:25 parsl.dataflow.dflow:363 [INFO]  Task 13 launched on executor threads
2018-07-25 20:31:25 parsl.dataflow.dflow:586 [DEBUG]  Task 13 launched with AppFuture: <AppFuture at 0x7f33245f09b0 state=pending>
2018-07-25 20:31:25 parsl.dataflow.dflow:565 [INFO]  Task 14 submitted for App pdf_action, waiting on tasks []
2018-07-25 20:31:25 parsl.dataflow.dflow:363 [INFO]  Task 14 launched on executor threads
2018-07-25 20:31:25 parsl.dataflow.dflow:586 [DEBUG]  Task 14 launched with AppFuture: <AppFuture at 0x7f33245f0c88 state=pending>
2018-07-25 20:31:25 parsl.dataflow.dflow:565 [INFO]  Task 15 submitted for App pdf_action, waiting on tasks []
2018-07-25 20:31:25 parsl.dataflow.dflow:363 [INFO]  Task 15 launched on executor threads
2018-07-25 20:31:25 parsl.dataflow.dflow:586 [DEBUG]  Task 15 launched with AppFuture: <AppFuture at 0x7f33245f0f28 state=pending>
2018-07-25 20:31:25 parsl.dataflow.dflow:565 [INFO]  Task 16 submitted for App pdf_action, waiting on tasks []
2018-07-25 20:31:25 parsl.dataflow.dflow:363 [INFO]  Task 16 launched on executor threads
2018-07-25 20:31:25 parsl.dataflow.dflow:586 [DEBUG]  Task 16 launched with AppFuture: <AppFuture at 0x7f33245f2080 state=pending>
2018-07-25 20:31:25 parsl.dataflow.dflow:565 [INFO]  Task 17 submitted for App pdf_action, waiting on tasks []
2018-07-25 20:31:25 parsl.dataflow.dflow:363 [INFO]  Task 17 launched on executor threads
2018-07-25 20:31:25 parsl.dataflow.dflow:586 [DEBUG]  Task 17 launched with AppFuture: <AppFuture at 0x7f33245f2160 state=pending>
2018-07-25 20:31:25 parsl.dataflow.dflow:565 [INFO]  Task 18 submitted for App pdf_action, waiting on tasks []
2018-07-25 20:31:25 parsl.dataflow.dflow:363 [INFO]  Task 18 launched on executor threads
2018-07-25 20:31:25 parsl.dataflow.dflow:586 [DEBUG]  Task 18 launched with AppFuture: <AppFuture at 0x7f33245f23c8 state=pending>
2018-07-25 20:31:25 parsl.dataflow.dflow:565 [INFO]  Task 19 submitted for App pdf_action, waiting on tasks []
2018-07-25 20:31:25 parsl.dataflow.dflow:363 [INFO]  Task 19 launched on executor threads
2018-07-25 20:31:25 parsl.dataflow.dflow:586 [DEBUG]  Task 19 launched with AppFuture: <AppFuture at 0x7f33245f28d0 state=pending>
2018-07-25 20:31:25 parsl.dataflow.dflow:565 [INFO]  Task 20 submitted for App pdf_action, waiting on tasks []
2018-07-25 20:31:25 parsl.dataflow.dflow:363 [INFO]  Task 20 launched on executor threads
2018-07-25 20:31:25 parsl.dataflow.dflow:586 [DEBUG]  Task 20 launched with AppFuture: <AppFuture at 0x7f33245f2d68 state=pending>
2018-07-25 20:31:25 parsl.dataflow.dflow:565 [INFO]  Task 21 submitted for App pdf_action, waiting on tasks []
2018-07-25 20:31:25 parsl.dataflow.dflow:363 [INFO]  Task 21 launched on executor threads
2018-07-25 20:31:25 parsl.dataflow.dflow:586 [DEBUG]  Task 21 launched with AppFuture: <AppFuture at 0x7f33245f21d0 state=pending>
2018-07-25 20:31:25 parsl.dataflow.dflow:565 [INFO]  Task 22 submitted for App pdf_action, waiting on tasks []
2018-07-25 20:31:25 parsl.dataflow.dflow:363 [INFO]  Task 22 launched on executor threads
2018-07-25 20:31:25 parsl.dataflow.dflow:586 [DEBUG]  Task 22 launched with AppFuture: <AppFuture at 0x7f33245f27b8 state=pending>
2018-07-25 20:31:25 parsl.dataflow.dflow:565 [INFO]  Task 23 submitted for App pdf_action, waiting on tasks []
2018-07-25 20:31:25 parsl.dataflow.dflow:363 [INFO]  Task 23 launched on executor threads
2018-07-25 20:31:25 parsl.dataflow.dflow:586 [DEBUG]  Task 23 launched with AppFuture: <AppFuture at 0x7f33245f2cf8 state=pending>
2018-07-25 20:31:25 parsl.dataflow.dflow:565 [INFO]  Task 24 submitted for App pdf_action, waiting on tasks []
2018-07-25 20:31:25 parsl.dataflow.dflow:363 [INFO]  Task 24 launched on executor threads
2018-07-25 20:31:25 parsl.dataflow.dflow:586 [DEBUG]  Task 24 launched with AppFuture: <AppFuture at 0x7f3324574128 state=pending>
2018-07-25 20:31:25 parsl.dataflow.dflow:565 [INFO]  Task 25 submitted for App pdf_action, waiting on tasks []
2018-07-25 20:31:25 parsl.dataflow.dflow:363 [INFO]  Task 25 launched on executor threads
2018-07-25 20:31:25 parsl.dataflow.dflow:586 [DEBUG]  Task 25 launched with AppFuture: <AppFuture at 0x7f3324574550 state=pending>
2018-07-25 20:31:25 parsl.dataflow.dflow:565 [INFO]  Task 26 submitted for App pdf_action, waiting on tasks []
2018-07-25 20:31:25 parsl.dataflow.dflow:363 [INFO]  Task 26 launched on executor threads
2018-07-25 20:31:25 parsl.dataflow.dflow:586 [DEBUG]  Task 26 launched with AppFuture: <AppFuture at 0x7f3324574978 state=pending>
2018-07-25 20:31:25 parsl.dataflow.dflow:565 [INFO]  Task 27 submitted for App pdf_action, waiting on tasks []
2018-07-25 20:31:25 parsl.dataflow.dflow:363 [INFO]  Task 27 launched on executor threads
2018-07-25 20:31:25 parsl.dataflow.dflow:586 [DEBUG]  Task 27 launched with AppFuture: <AppFuture at 0x7f3324574b70 state=pending>
2018-07-25 20:31:25 parsl.dataflow.dflow:565 [INFO]  Task 28 submitted for App pdf_action, waiting on tasks []
2018-07-25 20:31:25 parsl.dataflow.dflow:363 [INFO]  Task 28 launched on executor threads
2018-07-25 20:31:25 parsl.dataflow.dflow:586 [DEBUG]  Task 28 launched with AppFuture: <AppFuture at 0x7f3324574d68 state=pending>
2018-07-25 20:31:25 parsl.dataflow.dflow:565 [INFO]  Task 29 submitted for App pdf_action, waiting on tasks []
2018-07-25 20:31:25 parsl.dataflow.dflow:363 [INFO]  Task 29 launched on executor threads
2018-07-25 20:31:25 parsl.dataflow.dflow:586 [DEBUG]  Task 29 launched with AppFuture: <AppFuture at 0x7f3324574f28 state=pending>
2018-07-25 20:31:25 parsl.dataflow.dflow:565 [INFO]  Task 30 submitted for App pdf_action, waiting on tasks []
2018-07-25 20:31:25 parsl.dataflow.dflow:363 [INFO]  Task 30 launched on executor threads
2018-07-25 20:31:25 parsl.dataflow.dflow:586 [DEBUG]  Task 30 launched with AppFuture: <AppFuture at 0x7f33245742e8 state=pending>
2018-07-25 20:31:25 parsl.dataflow.dflow:565 [INFO]  Task 31 submitted for App pdf_action, waiting on tasks []
2018-07-25 20:31:25 parsl.dataflow.dflow:363 [INFO]  Task 31 launched on executor threads
2018-07-25 20:31:25 parsl.dataflow.dflow:586 [DEBUG]  Task 31 launched with AppFuture: <AppFuture at 0x7f3324574780 state=pending>
2018-07-25 20:31:25 parsl.dataflow.dflow:565 [INFO]  Task 32 submitted for App pdf_action, waiting on tasks []
2018-07-25 20:31:25 parsl.dataflow.dflow:363 [INFO]  Task 32 launched on executor threads
2018-07-25 20:31:25 parsl.dataflow.dflow:586 [DEBUG]  Task 32 launched with AppFuture: <AppFuture at 0x7f332456a8d0 state=pending>
2018-07-25 20:31:25 parsl.dataflow.dflow:565 [INFO]  Task 33 submitted for App pdf_action, waiting on tasks []
2018-07-25 20:31:25 parsl.dataflow.dflow:363 [INFO]  Task 33 launched on executor threads
2018-07-25 20:31:25 parsl.dataflow.dflow:586 [DEBUG]  Task 33 launched with AppFuture: <AppFuture at 0x7f332456a208 state=pending>
2018-07-25 20:31:25 parsl.dataflow.dflow:565 [INFO]  Task 34 submitted for App pdf_action, waiting on tasks []
2018-07-25 20:31:25 parsl.dataflow.dflow:363 [INFO]  Task 34 launched on executor threads
2018-07-25 20:31:25 parsl.dataflow.dflow:586 [DEBUG]  Task 34 launched with AppFuture: <AppFuture at 0x7f332456a400 state=pending>
2018-07-25 20:31:25 parsl.dataflow.dflow:565 [INFO]  Task 35 submitted for App pdf_action, waiting on tasks []
2018-07-25 20:31:25 parsl.dataflow.dflow:363 [INFO]  Task 35 launched on executor threads
2018-07-25 20:31:25 parsl.dataflow.dflow:586 [DEBUG]  Task 35 launched with AppFuture: <AppFuture at 0x7f332456a5f8 state=pending>
2018-07-25 20:31:25 parsl.dataflow.dflow:565 [INFO]  Task 36 submitted for App pdf_action, waiting on tasks []
2018-07-25 20:31:25 parsl.dataflow.dflow:363 [INFO]  Task 36 launched on executor threads
2018-07-25 20:31:25 parsl.dataflow.dflow:586 [DEBUG]  Task 36 launched with AppFuture: <AppFuture at 0x7f332456a9e8 state=pending>
2018-07-25 20:31:25 parsl.dataflow.dflow:565 [INFO]  Task 37 submitted for App pdf_action, waiting on tasks []
2018-07-25 20:31:25 parsl.dataflow.dflow:363 [INFO]  Task 37 launched on executor threads
2018-07-25 20:31:25 parsl.dataflow.dflow:586 [DEBUG]  Task 37 launched with AppFuture: <AppFuture at 0x7f332456ad68 state=pending>
2018-07-25 20:31:25 parsl.dataflow.dflow:565 [INFO]  Task 38 submitted for App pdf_action, waiting on tasks []
2018-07-25 20:31:25 parsl.dataflow.dflow:363 [INFO]  Task 38 launched on executor threads
2018-07-25 20:31:25 parsl.dataflow.dflow:586 [DEBUG]  Task 38 launched with AppFuture: <AppFuture at 0x7f332456a748 state=pending>
2018-07-25 20:31:25 parsl.dataflow.dflow:565 [INFO]  Task 39 submitted for App pdf_action, waiting on tasks []
2018-07-25 20:31:25 parsl.dataflow.dflow:363 [INFO]  Task 39 launched on executor threads
2018-07-25 20:31:25 parsl.dataflow.dflow:586 [DEBUG]  Task 39 launched with AppFuture: <AppFuture at 0x7f332456aeb8 state=pending>
2018-07-25 20:31:25 parsl.dataflow.dflow:565 [INFO]  Task 40 submitted for App pdf_action, waiting on tasks []
2018-07-25 20:31:25 parsl.dataflow.dflow:363 [INFO]  Task 40 launched on executor threads
2018-07-25 20:31:25 parsl.dataflow.dflow:586 [DEBUG]  Task 40 launched with AppFuture: <AppFuture at 0x7f33245712b0 state=pending>
2018-07-25 20:31:25 parsl.dataflow.dflow:565 [INFO]  Task 41 submitted for App pdf_action, waiting on tasks []
2018-07-25 20:31:25 parsl.dataflow.dflow:363 [INFO]  Task 41 launched on executor threads
2018-07-25 20:31:25 parsl.dataflow.dflow:586 [DEBUG]  Task 41 launched with AppFuture: <AppFuture at 0x7f3324571668 state=pending>
2018-07-25 20:31:25 parsl.dataflow.dflow:565 [INFO]  Task 42 submitted for App pdf_action, waiting on tasks []
2018-07-25 20:31:25 parsl.dataflow.dflow:363 [INFO]  Task 42 launched on executor threads
2018-07-25 20:31:25 parsl.dataflow.dflow:586 [DEBUG]  Task 42 launched with AppFuture: <AppFuture at 0x7f3324571940 state=pending>
2018-07-25 20:31:25 parsl.dataflow.dflow:565 [INFO]  Task 43 submitted for App pdf_action, waiting on tasks []
2018-07-25 20:31:25 parsl.dataflow.dflow:363 [INFO]  Task 43 launched on executor threads
2018-07-25 20:31:25 parsl.dataflow.dflow:586 [DEBUG]  Task 43 launched with AppFuture: <AppFuture at 0x7f3324571b38 state=pending>
2018-07-25 20:31:25 parsl.dataflow.dflow:565 [INFO]  Task 44 submitted for App pdf_action, waiting on tasks []
2018-07-25 20:31:25 parsl.dataflow.dflow:363 [INFO]  Task 44 launched on executor threads
2018-07-25 20:31:25 parsl.dataflow.dflow:586 [DEBUG]  Task 44 launched with AppFuture: <AppFuture at 0x7f3324571dd8 state=pending>
2018-07-25 20:31:25 parsl.dataflow.dflow:565 [INFO]  Task 45 submitted for App pdf_action, waiting on tasks []
2018-07-25 20:31:25 parsl.dataflow.dflow:363 [INFO]  Task 45 launched on executor threads
2018-07-25 20:31:25 parsl.dataflow.dflow:586 [DEBUG]  Task 45 launched with AppFuture: <AppFuture at 0x7f3324571198 state=pending>
2018-07-25 20:31:25 parsl.dataflow.dflow:565 [INFO]  Task 46 submitted for App pdf_action, waiting on tasks []
2018-07-25 20:31:25 parsl.dataflow.dflow:363 [INFO]  Task 46 launched on executor threads
2018-07-25 20:31:25 parsl.dataflow.dflow:586 [DEBUG]  Task 46 launched with AppFuture: <AppFuture at 0x7f33245715f8 state=pending>
2018-07-25 20:31:25 parsl.dataflow.dflow:565 [INFO]  Task 47 submitted for App pdf_action, waiting on tasks []
2018-07-25 20:31:25 parsl.dataflow.dflow:363 [INFO]  Task 47 launched on executor threads
2018-07-25 20:31:25 parsl.dataflow.dflow:586 [DEBUG]  Task 47 launched with AppFuture: <AppFuture at 0x7f3324571e80 state=pending>
2018-07-25 20:31:25 parsl.dataflow.dflow:565 [INFO]  Task 48 submitted for App pdf_action, waiting on tasks []
2018-07-25 20:31:25 parsl.dataflow.dflow:363 [INFO]  Task 48 launched on executor threads
2018-07-25 20:31:25 parsl.dataflow.dflow:586 [DEBUG]  Task 48 launched with AppFuture: <AppFuture at 0x7f3324511fd0 state=pending>
2018-07-25 20:31:25 parsl.dataflow.dflow:565 [INFO]  Task 49 submitted for App pdf_action, waiting on tasks []
2018-07-25 20:31:25 parsl.dataflow.dflow:363 [INFO]  Task 49 launched on executor threads
2018-07-25 20:31:25 parsl.dataflow.dflow:586 [DEBUG]  Task 49 launched with AppFuture: <AppFuture at 0x7f33245110b8 state=pending>
2018-07-25 20:31:25 parsl.dataflow.dflow:565 [INFO]  Task 50 submitted for App pdf_action, waiting on tasks []
2018-07-25 20:31:25 parsl.dataflow.dflow:363 [INFO]  Task 50 launched on executor threads
2018-07-25 20:31:25 parsl.dataflow.dflow:586 [DEBUG]  Task 50 launched with AppFuture: <AppFuture at 0x7f33245112b0 state=pending>
2018-07-25 20:31:25 parsl.dataflow.dflow:565 [INFO]  Task 51 submitted for App pdf_action, waiting on tasks []
2018-07-25 20:31:25 parsl.dataflow.dflow:363 [INFO]  Task 51 launched on executor threads
2018-07-25 20:31:25 parsl.dataflow.dflow:586 [DEBUG]  Task 51 launched with AppFuture: <AppFuture at 0x7f33245115f8 state=pending>
2018-07-25 20:31:25 parsl.dataflow.dflow:565 [INFO]  Task 52 submitted for App pdf_action, waiting on tasks []
2018-07-25 20:31:25 parsl.dataflow.dflow:363 [INFO]  Task 52 launched on executor threads
2018-07-25 20:31:25 parsl.dataflow.dflow:586 [DEBUG]  Task 52 launched with AppFuture: <AppFuture at 0x7f3324511b38 state=pending>
2018-07-25 20:31:25 parsl.dataflow.dflow:565 [INFO]  Task 53 submitted for App pdf_action, waiting on tasks []
2018-07-25 20:31:25 parsl.dataflow.dflow:363 [INFO]  Task 53 launched on executor threads
2018-07-25 20:31:25 parsl.dataflow.dflow:586 [DEBUG]  Task 53 launched with AppFuture: <AppFuture at 0x7f3324511668 state=pending>
2018-07-25 20:31:25 parsl.dataflow.dflow:565 [INFO]  Task 54 submitted for App pdf_action, waiting on tasks []
2018-07-25 20:31:25 parsl.dataflow.dflow:363 [INFO]  Task 54 launched on executor threads
2018-07-25 20:31:25 parsl.dataflow.dflow:586 [DEBUG]  Task 54 launched with AppFuture: <AppFuture at 0x7f3324511a20 state=pending>
2018-07-25 20:31:25 parsl.dataflow.dflow:565 [INFO]  Task 55 submitted for App pdf_action, waiting on tasks []
2018-07-25 20:31:25 parsl.dataflow.dflow:363 [INFO]  Task 55 launched on executor threads
2018-07-25 20:31:25 parsl.dataflow.dflow:586 [DEBUG]  Task 55 launched with AppFuture: <AppFuture at 0x7f3324511f98 state=pending>
2018-07-25 20:31:25 parsl.dataflow.dflow:565 [INFO]  Task 56 submitted for App pdf_action, waiting on tasks []
2018-07-25 20:31:25 parsl.dataflow.dflow:363 [INFO]  Task 56 launched on executor threads
2018-07-25 20:31:25 parsl.dataflow.dflow:586 [DEBUG]  Task 56 launched with AppFuture: <AppFuture at 0x7f33241ae208 state=pending>
2018-07-25 20:31:25 parsl.dataflow.dflow:565 [INFO]  Task 57 submitted for App pdf_action, waiting on tasks []
2018-07-25 20:31:25 parsl.dataflow.dflow:363 [INFO]  Task 57 launched on executor threads
2018-07-25 20:31:25 parsl.dataflow.dflow:586 [DEBUG]  Task 57 launched with AppFuture: <AppFuture at 0x7f33241ae400 state=pending>
2018-07-25 20:31:25 parsl.dataflow.dflow:565 [INFO]  Task 58 submitted for App pdf_action, waiting on tasks []
2018-07-25 20:31:25 parsl.dataflow.dflow:363 [INFO]  Task 58 launched on executor threads
2018-07-25 20:31:25 parsl.dataflow.dflow:586 [DEBUG]  Task 58 launched with AppFuture: <AppFuture at 0x7f33241ae5f8 state=pending>
2018-07-25 20:31:25 parsl.dataflow.dflow:565 [INFO]  Task 59 submitted for App pdf_action, waiting on tasks []
2018-07-25 20:31:25 parsl.dataflow.dflow:363 [INFO]  Task 59 launched on executor threads
2018-07-25 20:31:25 parsl.dataflow.dflow:586 [DEBUG]  Task 59 launched with AppFuture: <AppFuture at 0x7f33241ae898 state=pending>
2018-07-25 20:31:25 parsl.dataflow.dflow:565 [INFO]  Task 60 submitted for App pdf_action, waiting on tasks []
2018-07-25 20:31:25 parsl.dataflow.dflow:363 [INFO]  Task 60 launched on executor threads
2018-07-25 20:31:25 parsl.dataflow.dflow:586 [DEBUG]  Task 60 launched with AppFuture: <AppFuture at 0x7f33241aec18 state=pending>
2018-07-25 20:31:25 parsl.dataflow.dflow:565 [INFO]  Task 61 submitted for App pdf_action, waiting on tasks []
2018-07-25 20:31:25 parsl.dataflow.dflow:363 [INFO]  Task 61 launched on executor threads
2018-07-25 20:31:25 parsl.dataflow.dflow:586 [DEBUG]  Task 61 launched with AppFuture: <AppFuture at 0x7f33241aef98 state=pending>
2018-07-25 20:31:25 parsl.dataflow.dflow:565 [INFO]  Task 62 submitted for App pdf_action, waiting on tasks []
2018-07-25 20:31:25 parsl.dataflow.dflow:363 [INFO]  Task 62 launched on executor threads
2018-07-25 20:31:25 parsl.dataflow.dflow:586 [DEBUG]  Task 62 launched with AppFuture: <AppFuture at 0x7f33241aeac8 state=pending>
2018-07-25 20:31:25 parsl.dataflow.dflow:565 [INFO]  Task 63 submitted for App pdf_action, waiting on tasks []
2018-07-25 20:31:25 parsl.dataflow.dflow:363 [INFO]  Task 63 launched on executor threads
2018-07-25 20:31:25 parsl.dataflow.dflow:586 [DEBUG]  Task 63 launched with AppFuture: <AppFuture at 0x7f3396e73710 state=pending>
2018-07-25 20:31:25 parsl.dataflow.dflow:565 [INFO]  Task 64 submitted for App pdf_action, waiting on tasks []
2018-07-25 20:31:25 parsl.dataflow.dflow:363 [INFO]  Task 64 launched on executor threads
2018-07-25 20:31:25 parsl.dataflow.dflow:586 [DEBUG]  Task 64 launched with AppFuture: <AppFuture at 0x7f3324b04b38 state=pending>
2018-07-25 20:31:25 parsl.dataflow.dflow:565 [INFO]  Task 65 submitted for App pdf_action, waiting on tasks []
2018-07-25 20:31:25 parsl.dataflow.dflow:363 [INFO]  Task 65 launched on executor threads
2018-07-25 20:31:25 parsl.dataflow.dflow:586 [DEBUG]  Task 65 launched with AppFuture: <AppFuture at 0x7f3324b04d30 state=pending>
2018-07-25 20:31:25 parsl.dataflow.dflow:565 [INFO]  Task 66 submitted for App pdf_action, waiting on tasks []
2018-07-25 20:31:25 parsl.dataflow.dflow:363 [INFO]  Task 66 launched on executor threads
2018-07-25 20:31:25 parsl.dataflow.dflow:586 [DEBUG]  Task 66 launched with AppFuture: <AppFuture at 0x7f3324b04940 state=pending>
2018-07-25 20:31:25 parsl.dataflow.dflow:565 [INFO]  Task 67 submitted for App pdf_action, waiting on tasks []
2018-07-25 20:31:25 parsl.dataflow.dflow:363 [INFO]  Task 67 launched on executor threads
2018-07-25 20:31:25 parsl.dataflow.dflow:586 [DEBUG]  Task 67 launched with AppFuture: <AppFuture at 0x7f3324b041d0 state=pending>
2018-07-25 20:31:25 parsl.dataflow.dflow:565 [INFO]  Task 68 submitted for App pdf_action, waiting on tasks []
2018-07-25 20:31:25 parsl.dataflow.dflow:363 [INFO]  Task 68 launched on executor threads
2018-07-25 20:31:25 parsl.dataflow.dflow:586 [DEBUG]  Task 68 launched with AppFuture: <AppFuture at 0x7f3324b042e8 state=pending>
2018-07-25 20:31:25 parsl.dataflow.dflow:565 [INFO]  Task 69 submitted for App pdf_action, waiting on tasks []
2018-07-25 20:31:25 parsl.dataflow.dflow:363 [INFO]  Task 69 launched on executor threads
2018-07-25 20:31:25 parsl.dataflow.dflow:586 [DEBUG]  Task 69 launched with AppFuture: <AppFuture at 0x7f3324b04588 state=pending>
2018-07-25 20:31:25 parsl.dataflow.dflow:565 [INFO]  Task 70 submitted for App pdf_action, waiting on tasks []
2018-07-25 20:31:25 parsl.dataflow.dflow:363 [INFO]  Task 70 launched on executor threads
2018-07-25 20:31:25 parsl.dataflow.dflow:586 [DEBUG]  Task 70 launched with AppFuture: <AppFuture at 0x7f3324b047b8 state=pending>
2018-07-25 20:31:25 parsl.dataflow.dflow:565 [INFO]  Task 71 submitted for App pdf_action, waiting on tasks []
2018-07-25 20:31:25 parsl.dataflow.dflow:363 [INFO]  Task 71 launched on executor threads
2018-07-25 20:31:25 parsl.dataflow.dflow:586 [DEBUG]  Task 71 launched with AppFuture: <AppFuture at 0x7f3322affb00 state=pending>
2018-07-25 20:31:25 parsl.dataflow.dflow:565 [INFO]  Task 72 submitted for App pdf_action, waiting on tasks []
2018-07-25 20:31:25 parsl.dataflow.dflow:363 [INFO]  Task 72 launched on executor threads
2018-07-25 20:31:25 parsl.dataflow.dflow:586 [DEBUG]  Task 72 launched with AppFuture: <AppFuture at 0x7f3322aff400 state=pending>
2018-07-25 20:31:25 parsl.dataflow.dflow:565 [INFO]  Task 73 submitted for App pdf_action, waiting on tasks []
2018-07-25 20:31:25 parsl.dataflow.dflow:363 [INFO]  Task 73 launched on executor threads
2018-07-25 20:31:25 parsl.dataflow.dflow:586 [DEBUG]  Task 73 launched with AppFuture: <AppFuture at 0x7f3322aff7f0 state=pending>
2018-07-25 20:31:25 parsl.dataflow.dflow:565 [INFO]  Task 74 submitted for App pdf_action, waiting on tasks []
2018-07-25 20:31:25 parsl.dataflow.dflow:363 [INFO]  Task 74 launched on executor threads
2018-07-25 20:31:25 parsl.dataflow.dflow:586 [DEBUG]  Task 74 launched with AppFuture: <AppFuture at 0x7f3322aff128 state=pending>
2018-07-25 20:31:25 parsl.dataflow.dflow:565 [INFO]  Task 75 submitted for App pdf_action, waiting on tasks []
